Probe_ID,Symbol,Entrez_Gene_ID,Chromosome,Cytoband
ILMN_1885222,,NA,,
ILMN_1885229,,NA,,
ILMN_1885231,,NA,,
ILMN_1885233,,NA,,
ILMN_1885273,,NA,,
ILMN_1885292,,NA,,
ILMN_1885296,,NA,,
ILMN_1885301,,NA,,
ILMN_1885323,,NA,,
ILMN_1885366,,NA,,
ILMN_1885367,,NA,,
ILMN_1885371,,NA,,
ILMN_1885376,,NA,,
ILMN_1885379,,NA,,
ILMN_1885382,,NA,,
ILMN_1885401,,NA,,
ILMN_1885411,,NA,,
ILMN_1885428,,NA,,
ILMN_1885437,,NA,,
ILMN_1885441,,NA,,
ILMN_1885448,,NA,,
ILMN_1885449,,NA,,
ILMN_1885454,,NA,,
ILMN_1885464,,NA,,
ILMN_1885475,,NA,,
ILMN_1885477,,NA,,
ILMN_1885478,,NA,,
ILMN_1885491,,NA,,
ILMN_1885509,,NA,,
ILMN_1885529,,NA,,
ILMN_1885547,,NA,,
ILMN_1885567,,NA,,
ILMN_1885569,,NA,,
ILMN_1885574,,NA,,
ILMN_1885583,,NA,,
ILMN_1885596,,NA,,
ILMN_1885603,,NA,,
ILMN_1885611,,NA,,
ILMN_1885621,,NA,,
ILMN_1885628,KSR2,283455,12,12q24.22b-q24.23a
ILMN_1885629,,NA,,
ILMN_1885639,,NA,,
ILMN_1885647,,NA,,
ILMN_1885650,,NA,,
ILMN_1885656,,NA,,
ILMN_1885687,,NA,,
ILMN_1885697,,NA,,
ILMN_1885699,,NA,,
ILMN_1885705,,NA,,
ILMN_1885710,,NA,,
ILMN_1885714,,NA,,
ILMN_1885728,KIAA1147,57189,,7q34e
ILMN_1885740,,NA,,
ILMN_1885741,,NA,,
ILMN_1885755,,NA,,
ILMN_1885760,,NA,,
ILMN_1885762,,NA,,
ILMN_1885771,,NA,,
ILMN_1885774,,NA,,
ILMN_1885782,,NA,,
ILMN_1885785,,NA,,
ILMN_1885801,,NA,,
ILMN_1885808,,NA,,
ILMN_1885818,,NA,,
ILMN_1885833,,NA,,
ILMN_1885846,,NA,,
ILMN_1885849,,NA,,
ILMN_1885854,,NA,,
ILMN_1885873,,NA,,
ILMN_1885879,,NA,,
ILMN_1885891,,NA,,
ILMN_1885908,,NA,,
ILMN_1885910,,NA,,
ILMN_1885940,,NA,,
ILMN_1885944,,NA,,
ILMN_1885950,,NA,,
ILMN_1885981,,NA,,
ILMN_1885985,,NA,,
ILMN_1885986,,NA,,
ILMN_1886003,,NA,,
ILMN_1886004,,NA,,
ILMN_1886023,,NA,,
ILMN_1886026,,NA,,
ILMN_1886035,,NA,,
ILMN_1886036,,NA,,
ILMN_1886040,,NA,,
ILMN_1886042,,NA,,
ILMN_1886044,,NA,,
ILMN_1886047,,NA,,
ILMN_1886050,LOC728660,728660,X,Xq27.1b
ILMN_1886067,,NA,,
ILMN_1886074,,NA,,
ILMN_1886083,,NA,,
ILMN_1886092,,NA,,
ILMN_1886096,,NA,,
ILMN_1886113,,NA,,
ILMN_1886117,,NA,,
ILMN_1886122,,NA,,
ILMN_1886127,,NA,,
ILMN_1886162,,NA,,
ILMN_1886165,,NA,,
ILMN_1886177,,NA,,
ILMN_1886210,,NA,,
ILMN_1886218,,NA,,
ILMN_1886221,,NA,,
ILMN_1886223,,NA,,
ILMN_1886224,,NA,,
ILMN_1886231,,NA,,
ILMN_1886254,,NA,,
ILMN_1886269,,NA,,
ILMN_1886279,,NA,,
ILMN_1886281,,NA,,
ILMN_1886298,,NA,,
ILMN_1886307,,NA,,
ILMN_1886326,,NA,,
ILMN_1886342,,NA,,
ILMN_1886353,,NA,,
ILMN_1886380,,NA,,
ILMN_1886395,,NA,,
ILMN_1886406,,NA,,
ILMN_1886407,,NA,,
ILMN_1886412,,NA,,
ILMN_1886422,,NA,,
ILMN_1886430,,NA,,
ILMN_1886439,,NA,,
ILMN_1886459,,NA,,
ILMN_1886471,,NA,,
ILMN_1886487,,NA,,
ILMN_1886491,,NA,,
ILMN_1886493,,NA,,
ILMN_1886515,,NA,,
ILMN_1886516,,NA,,
ILMN_1886525,,NA,,
ILMN_1886528,,NA,,
ILMN_1886534,,NA,,
ILMN_1886535,,NA,,
ILMN_1886537,,NA,,
ILMN_1886550,,NA,,
ILMN_1886551,,NA,,
ILMN_1886553,,NA,,
ILMN_1886559,,NA,,
ILMN_1886560,,NA,,
ILMN_1886566,,NA,,
ILMN_1886570,,NA,,
ILMN_1886573,,NA,,
ILMN_1886578,,NA,,
ILMN_1886584,,NA,,
ILMN_1886594,,NA,,
ILMN_1886595,,NA,,
ILMN_1886604,,NA,,
ILMN_1886625,,NA,,
ILMN_1886628,,NA,,
ILMN_1886637,,NA,,
ILMN_1886639,,NA,,
ILMN_1886642,,NA,,
ILMN_1886646,,NA,,
ILMN_1886655,,NA,,
ILMN_1886656,,NA,,
ILMN_1886677,,NA,,
ILMN_1886679,,NA,,
ILMN_1886685,,NA,,
ILMN_1886695,,NA,,
ILMN_1886696,,NA,,
ILMN_1886719,,NA,,
ILMN_1886722,,NA,,
ILMN_1886727,,NA,,
ILMN_1886735,,NA,,
ILMN_1886745,,NA,,
ILMN_1886747,,NA,,
ILMN_1886750,,NA,,
ILMN_1886751,,NA,,
ILMN_1886756,,NA,,
ILMN_1886769,,NA,,
ILMN_1886775,,NA,,
ILMN_1886778,,NA,,
ILMN_1886781,,NA,,
ILMN_1886786,,NA,,
ILMN_1886789,,NA,,
ILMN_1886791,,NA,,
ILMN_1886792,,NA,,
ILMN_1886805,,NA,,
ILMN_1886813,,NA,,
ILMN_1886816,,NA,,
ILMN_1886846,,NA,,
ILMN_1886847,,NA,,
ILMN_1886856,,NA,,
ILMN_1886859,,NA,,
ILMN_1886860,,NA,,
ILMN_1886863,,NA,,
ILMN_1886877,,NA,,
ILMN_1886880,,NA,,
ILMN_1886899,,NA,,
ILMN_1886900,,NA,,
ILMN_1886906,,NA,,
ILMN_1886909,,NA,,
ILMN_1886918,,NA,,
ILMN_1886952,,NA,,
ILMN_1886961,,NA,,
ILMN_1886963,,NA,,
ILMN_1886964,,NA,,
ILMN_1886969,,NA,,
ILMN_1886977,,NA,,
ILMN_1886988,,NA,,
ILMN_1886990,,NA,,
ILMN_1886992,,NA,,
ILMN_1887008,,NA,,
ILMN_1887011,,NA,,
ILMN_1887013,,NA,,
ILMN_1887016,,NA,,
ILMN_1887017,,NA,,
ILMN_1887028,,NA,,
ILMN_1887039,,NA,,
ILMN_1887049,,NA,,
ILMN_1887059,,NA,,
ILMN_1887063,,NA,,
ILMN_1887069,,NA,,
ILMN_1887081,,NA,,
ILMN_1887082,,NA,,
ILMN_1887090,,NA,,
ILMN_1887093,,NA,,
ILMN_1887096,,NA,,
ILMN_1887099,,NA,,
ILMN_1887116,,NA,,
ILMN_1887127,,NA,,
ILMN_1887128,,NA,,
ILMN_1887131,,NA,,
ILMN_1887145,,NA,,
ILMN_1887154,,NA,,
ILMN_1887168,,NA,,
ILMN_1887170,,NA,,
ILMN_1887174,KIAA0146,23514,8,8q11.21a
ILMN_1887177,,NA,,
ILMN_1887178,,NA,,
ILMN_1887189,,NA,,
ILMN_1887196,,NA,,
ILMN_1887216,,NA,,
ILMN_1887225,,NA,,
ILMN_1887230,,NA,,
ILMN_1887236,,NA,,
ILMN_1887252,,NA,,
ILMN_1887267,,NA,,
ILMN_1887273,,NA,,
ILMN_1887276,,NA,,
ILMN_1887280,,NA,,
ILMN_1887294,,NA,,
ILMN_1887296,,NA,,
ILMN_1887298,,NA,,
ILMN_1887302,,NA,,
ILMN_1887305,,NA,,
ILMN_1887319,,NA,,
ILMN_1887334,,NA,,
ILMN_1887335,,NA,,
ILMN_1887341,,NA,,
ILMN_1887344,,NA,,
ILMN_1887349,,NA,,
ILMN_1887351,,NA,,
ILMN_1887357,,NA,,
ILMN_1887361,,NA,,
ILMN_1887367,,NA,,
ILMN_1887378,,NA,,
ILMN_1887382,,NA,,
ILMN_1887387,,NA,,
ILMN_1887403,DBT,1629,1,1p21.2a
ILMN_1887410,,NA,,
ILMN_1887413,,NA,,
ILMN_1887420,,NA,,
ILMN_1887424,,NA,,
ILMN_1887458,,NA,,
ILMN_1887466,,NA,,
ILMN_1887470,,NA,,
ILMN_1887484,,NA,,
ILMN_1887486,,NA,,
ILMN_1887500,,NA,,
ILMN_1887504,,NA,,
ILMN_1887505,,NA,,
ILMN_1887508,,NA,,
ILMN_1887512,,NA,,
ILMN_1887515,,NA,,
ILMN_1887544,,NA,,
ILMN_1887548,,NA,,
ILMN_1887553,,NA,,
ILMN_1887554,,NA,,
ILMN_1887560,,NA,,
ILMN_1887565,,NA,,
ILMN_1887574,,NA,,
ILMN_1887575,,NA,,
ILMN_1887607,,NA,,
ILMN_1887617,,NA,,
ILMN_1887618,,NA,,
ILMN_1887619,,NA,,
ILMN_1887639,,NA,,
ILMN_1887644,,NA,,
ILMN_1887646,,NA,,
ILMN_1887648,AGBL1,123624,15,15q25.3b-q25.3c
ILMN_1887654,,NA,,
ILMN_1887656,,NA,,
ILMN_1887660,,NA,,
ILMN_1887665,,NA,,
ILMN_1887680,,NA,,
ILMN_1887682,,NA,,
ILMN_1887709,,NA,,
ILMN_1887731,ANRIL,NA,9,
ILMN_1887735,,NA,,
ILMN_1887779,,NA,,
ILMN_1887790,,NA,,
ILMN_1887807,,NA,,
ILMN_1887808,,NA,,
ILMN_1887809,,NA,,
ILMN_1887819,,NA,,
ILMN_1887823,,NA,,
ILMN_1887831,,NA,,
ILMN_1887832,,NA,,
ILMN_1887839,,NA,,
ILMN_1887858,,NA,,
ILMN_1887865,PRDM9,56979,5,5p14.2a
ILMN_1887868,,NA,,
ILMN_1887886,,NA,,
ILMN_1887892,,NA,,
ILMN_1887894,,NA,,
ILMN_1887900,,NA,,
ILMN_1887904,,NA,,
ILMN_1887906,,NA,,
ILMN_1887907,,NA,,
ILMN_1887919,,NA,,
ILMN_1887925,,NA,,
ILMN_1887927,,NA,,
ILMN_1887928,,NA,,
ILMN_1887935,,NA,,
ILMN_1887946,,NA,,
ILMN_1887950,,NA,,
ILMN_1887973,,NA,,
ILMN_1887977,,NA,,
ILMN_1887978,,NA,,
ILMN_1887984,,NA,,
ILMN_1887987,,NA,,
ILMN_1887994,,NA,,
ILMN_1888015,,NA,,
ILMN_1888026,,NA,,
ILMN_1888039,,NA,,
ILMN_1888041,,NA,,
ILMN_1888042,,NA,,
ILMN_1888047,,NA,,
ILMN_1888051,,NA,,
ILMN_1888055,,NA,,
ILMN_1888057,,NA,,
ILMN_1888074,,NA,,
ILMN_1888100,,NA,,
ILMN_1888105,,NA,,
ILMN_1888110,,NA,,
ILMN_1888116,,NA,,
ILMN_1888125,,NA,,
ILMN_1888135,,NA,,
ILMN_1888150,,NA,,
ILMN_1888155,,NA,,
ILMN_1888165,,NA,,
ILMN_1888166,,NA,,
ILMN_1888171,,NA,,
ILMN_1888172,,NA,,
ILMN_1888176,,NA,,
ILMN_1888178,,NA,,
ILMN_1888181,,NA,,
ILMN_1888195,,NA,,
ILMN_1888199,,NA,,
ILMN_1888224,,NA,,
ILMN_1888225,,NA,,
ILMN_1888230,,NA,,
ILMN_1888235,,NA,,
ILMN_1888242,,NA,,
ILMN_1888252,,NA,,
ILMN_1888257,,NA,,
ILMN_1888263,,NA,,
ILMN_1888264,,NA,,
ILMN_1888286,,NA,,
ILMN_1888288,,NA,,
ILMN_1888289,,NA,,
ILMN_1888293,,NA,,
ILMN_1888303,,NA,,
ILMN_1888318,,NA,,
ILMN_1888329,,NA,,
ILMN_1888330,,NA,,
ILMN_1888332,,NA,,
ILMN_1888334,,NA,,
ILMN_1888335,,NA,,
ILMN_1888349,,NA,,
ILMN_1888352,,NA,,
ILMN_1888355,,NA,,
ILMN_1888357,,NA,,
ILMN_1888358,,NA,,
ILMN_1888359,,NA,,
ILMN_1888368,,NA,,
ILMN_1888371,,NA,,
ILMN_1888373,,NA,,
ILMN_1888386,,NA,,
ILMN_1888400,,NA,,
ILMN_1888406,,NA,,
ILMN_1888430,,NA,,
ILMN_1888434,,NA,,
ILMN_1888444,,NA,,
ILMN_1888450,,NA,,
ILMN_1888468,,NA,,
ILMN_1888474,,NA,,
ILMN_1888481,,NA,,
ILMN_1888492,,NA,,
ILMN_1888493,,NA,,
ILMN_1888495,,NA,,
ILMN_1888498,,NA,,
ILMN_1888504,,NA,,
ILMN_1888508,,NA,,
ILMN_1888518,,NA,,
ILMN_1888530,,NA,,
ILMN_1888532,,NA,,
ILMN_1888545,,NA,,
ILMN_1888546,,NA,,
ILMN_1888556,,NA,,
ILMN_1888558,,NA,,
ILMN_1888568,,NA,,
ILMN_1888570,,NA,,
ILMN_1888590,,NA,,
ILMN_1888593,,NA,,
ILMN_1888594,,NA,,
ILMN_1888596,,NA,,
ILMN_1888597,,NA,,
ILMN_1888605,,NA,,
ILMN_1888609,,NA,,
ILMN_1888613,,NA,,
ILMN_1888615,,NA,,
ILMN_1888621,,NA,,
ILMN_1888629,,NA,,
ILMN_1888639,,NA,,
ILMN_1888644,LOC731000,731000,,
ILMN_1888658,,NA,,
ILMN_1888676,,NA,,
ILMN_1888685,,NA,,
ILMN_1888690,,NA,,
ILMN_1888706,,NA,,
ILMN_1888715,,NA,,
ILMN_1888719,,NA,,
ILMN_1888729,,NA,,
ILMN_1888738,,NA,,
ILMN_1888740,,NA,,
ILMN_1888747,,NA,,
ILMN_1888781,,NA,,
ILMN_1888791,,NA,,
ILMN_1888808,,NA,,
ILMN_1888820,,NA,,
ILMN_1888834,,NA,,
ILMN_1888844,,NA,,
ILMN_1888849,,NA,,
ILMN_1888853,,NA,,
ILMN_1888855,,NA,,
ILMN_1888863,,NA,,
ILMN_1888880,,NA,,
ILMN_1888897,,NA,,
ILMN_1888901,,NA,,
ILMN_1888904,,NA,,
ILMN_1888912,,NA,,
ILMN_1888918,,NA,,
ILMN_1888925,,NA,,
ILMN_1888930,,NA,,
ILMN_1888935,,NA,,
ILMN_1888939,,NA,,
ILMN_1888945,,NA,,
ILMN_1888949,,NA,,
ILMN_1888950,,NA,,
ILMN_1888954,,NA,,
ILMN_1888978,,NA,,
ILMN_1888987,,NA,,
ILMN_1888988,,NA,,
ILMN_1888993,,NA,,
ILMN_1889000,,NA,,
ILMN_1889003,,NA,,
ILMN_1889011,,NA,,
ILMN_1889019,,NA,,
ILMN_1889025,,NA,,
ILMN_1889045,,NA,,
ILMN_1889059,,NA,,
ILMN_1889063,,NA,,
ILMN_1889106,,NA,,
ILMN_1889111,,NA,,
ILMN_1889120,,NA,,
ILMN_1889125,,NA,,
ILMN_1889129,,NA,,
ILMN_1889135,,NA,,
ILMN_1889137,,NA,,
ILMN_1889140,,NA,,
ILMN_1889144,,NA,,
ILMN_1889147,,NA,,
ILMN_1889148,,NA,,
ILMN_1889155,,NA,,
ILMN_1889172,,NA,,
ILMN_1889186,,NA,,
ILMN_1889209,,NA,,
ILMN_1889212,,NA,,
ILMN_1889215,,NA,,
ILMN_1889228,,NA,,
ILMN_1889229,,NA,,
ILMN_1889231,,NA,,
ILMN_1889234,,NA,,
ILMN_1889243,,NA,,
ILMN_1889259,,NA,,
ILMN_1889293,,NA,,
ILMN_1889299,,NA,,
ILMN_1889309,,NA,,
ILMN_1889314,,NA,,
ILMN_1889322,,NA,,
ILMN_1889329,,NA,,
ILMN_1889338,,NA,,
ILMN_1889344,,NA,,
ILMN_1889350,,NA,,
ILMN_1889359,,NA,,
ILMN_1889375,,NA,,
ILMN_1889394,,NA,,
ILMN_1889395,,NA,,
ILMN_1889399,,NA,,
ILMN_1889404,,NA,,
ILMN_1889412,,NA,,
ILMN_1889414,,NA,,
ILMN_1889425,,NA,,
ILMN_1889436,,NA,,
ILMN_1889440,,NA,,
ILMN_1889441,,NA,,
ILMN_1889447,,NA,,
ILMN_1889451,,NA,,
ILMN_1889456,,NA,,
ILMN_1889460,,NA,,
ILMN_1889468,,NA,,
ILMN_1889470,,NA,,
ILMN_1889472,,NA,,
ILMN_1889477,,NA,,
ILMN_1889486,,NA,,
ILMN_1889495,,NA,,
ILMN_1889498,,NA,,
ILMN_1889507,,NA,,
ILMN_1889508,,NA,,
ILMN_1889509,,NA,,
ILMN_1889521,,NA,,
ILMN_1889525,,NA,,
ILMN_1889527,,NA,,
ILMN_1889536,,NA,,
ILMN_1889541,,NA,,
ILMN_1889545,,NA,,
ILMN_1889547,,NA,,
ILMN_1889555,,NA,,
ILMN_1889564,,NA,,
ILMN_1889583,,NA,,
ILMN_1889595,,NA,,
ILMN_1889602,,NA,,
ILMN_1889605,,NA,,
ILMN_1889615,,NA,,
ILMN_1889621,,NA,,
ILMN_1889624,,NA,,
ILMN_1889633,,NA,,
ILMN_1889634,,NA,,
ILMN_1889636,,NA,,
ILMN_1889640,,NA,,
ILMN_1889641,,NA,,
ILMN_1889642,,NA,,
ILMN_1889660,,NA,,
ILMN_1889668,,NA,,
ILMN_1889669,,NA,,
ILMN_1889674,,NA,,
ILMN_1889708,,NA,,
ILMN_1889720,,NA,,
ILMN_1889731,,NA,,
ILMN_1889732,,NA,,
ILMN_1889741,,NA,,
ILMN_1889752,,NA,,
ILMN_1889756,,NA,,
ILMN_1889763,,NA,,
ILMN_1889765,,NA,,
ILMN_1889767,,NA,,
ILMN_1889784,,NA,,
ILMN_1889791,,NA,,
ILMN_1889793,,NA,,
ILMN_1889796,,NA,,
ILMN_1889799,,NA,,
ILMN_1889804,,NA,,
ILMN_1889805,,NA,,
ILMN_1889811,,NA,,
ILMN_1889822,,NA,,
ILMN_1889838,,NA,,
ILMN_1889841,,NA,,
ILMN_1889845,,NA,,
ILMN_1889852,,NA,,
ILMN_1889855,,NA,,
ILMN_1889857,,NA,,
ILMN_1889864,,NA,,
ILMN_1889865,,NA,,
ILMN_1889870,,NA,,
ILMN_1889873,,NA,,
ILMN_1889874,,NA,,
ILMN_1889878,,NA,,
ILMN_1889884,LOC730118,730118,14,14q32.13b
ILMN_1889889,,NA,,
ILMN_1889913,,NA,,
ILMN_1889917,,NA,,
ILMN_1889942,,NA,,
ILMN_1889944,,NA,,
ILMN_1889947,,NA,,
ILMN_1889958,,NA,,
ILMN_1889973,,NA,,
ILMN_1889993,,NA,,
ILMN_1889997,,NA,,
ILMN_1890000,,NA,,
ILMN_1890002,,NA,,
ILMN_1890005,,NA,,
ILMN_1890008,,NA,,
ILMN_1890021,,NA,,
ILMN_1890045,,NA,,
ILMN_1890053,,NA,,
ILMN_1890054,,NA,,
ILMN_1890061,,NA,,
ILMN_1890063,,NA,,
ILMN_1890069,,NA,,
ILMN_1890082,,NA,,
ILMN_1890094,,NA,,
ILMN_1890097,,NA,,
ILMN_1890099,,NA,,
ILMN_1890107,,NA,,
ILMN_1890120,,NA,,
ILMN_1890125,,NA,,
ILMN_1890134,,NA,,
ILMN_1890160,,NA,,
ILMN_1890166,,NA,,
ILMN_1890168,,NA,,
ILMN_1890169,,NA,,
ILMN_1890175,,NA,,
ILMN_1890179,,NA,,
ILMN_1890185,,NA,,
ILMN_1890191,,NA,,
ILMN_1890200,,NA,,
ILMN_1890206,,NA,,
ILMN_1890207,,NA,,
ILMN_1890209,,NA,,
ILMN_1890245,,NA,,
ILMN_1890253,,NA,,
ILMN_1890256,,NA,,
ILMN_1890258,,NA,,
ILMN_1890263,,NA,,
ILMN_1890270,,NA,,
ILMN_1890292,,NA,,
ILMN_1890297,,NA,,
ILMN_1890301,,NA,,
ILMN_1890314,,NA,,
ILMN_1890320,,NA,,
ILMN_1890325,,NA,,
ILMN_1890328,,NA,,
ILMN_1890332,,NA,,
ILMN_1890351,,NA,,
ILMN_1890354,,NA,,
ILMN_1890359,,NA,,
ILMN_1890362,,NA,,
ILMN_1890371,,NA,,
ILMN_1890375,,NA,,
ILMN_1890387,,NA,,
ILMN_1890404,,NA,,
ILMN_1890418,,NA,,
ILMN_1890421,,NA,,
ILMN_1890429,,NA,,
ILMN_1890444,,NA,,
ILMN_1890445,,NA,,
ILMN_1890457,,NA,,
ILMN_1890459,,NA,,
ILMN_1890463,,NA,,
ILMN_1890478,,NA,,
ILMN_1890481,,NA,,
ILMN_1890485,,NA,,
ILMN_1890511,,NA,,
ILMN_1890516,,NA,,
ILMN_1890521,,NA,,
ILMN_1890548,,NA,,
ILMN_1890562,,NA,,
ILMN_1890565,,NA,,
ILMN_1890575,,NA,,
ILMN_1890587,,NA,,
ILMN_1890598,,NA,,
ILMN_1890614,,NA,,
ILMN_1890640,,NA,,
ILMN_1890641,,NA,,
ILMN_1890653,,NA,,
ILMN_1890660,,NA,,
ILMN_1890666,,NA,,
ILMN_1890699,,NA,,
ILMN_1890704,,NA,,
ILMN_1890710,,NA,,
ILMN_1890717,,NA,,
ILMN_1890723,,NA,,
ILMN_1890724,,NA,,
ILMN_1890725,,NA,,
ILMN_1890733,,NA,,
ILMN_1890734,,NA,,
ILMN_1890741,,NA,,
ILMN_1890743,,NA,,
ILMN_1890749,,NA,,
ILMN_1890754,,NA,,
ILMN_1890756,,NA,,
ILMN_1890771,,NA,,
ILMN_1890772,,NA,,
ILMN_1890773,,NA,,
ILMN_1890788,,NA,,
ILMN_1890797,,NA,,
ILMN_1890808,,NA,,
ILMN_1890810,,NA,,
ILMN_1890812,,NA,,
ILMN_1890814,,NA,,
ILMN_1890819,,NA,,
ILMN_1890821,,NA,,
ILMN_1890825,,NA,,
ILMN_1890829,,NA,,
ILMN_1890832,,NA,,
ILMN_1890833,,NA,,
ILMN_1890834,,NA,,
ILMN_1890849,,NA,,
ILMN_1890851,,NA,,
ILMN_1890854,,NA,,
ILMN_1890864,,NA,,
ILMN_1890869,,NA,,
ILMN_1890870,,NA,,
ILMN_1890871,,NA,,
ILMN_1890877,,NA,,
ILMN_1890884,,NA,,
ILMN_1890887,,NA,,
ILMN_1890892,,NA,,
ILMN_1890902,,NA,,
ILMN_1890907,,NA,,
ILMN_1890908,,NA,,
ILMN_1890912,,NA,,
ILMN_1890918,,NA,,
ILMN_1890924,,NA,,
ILMN_1890941,,NA,,
ILMN_1890948,,NA,,
ILMN_1890957,,NA,,
ILMN_1890958,,NA,,
ILMN_1890985,,NA,,
ILMN_1890986,,NA,,
ILMN_1890993,,NA,,
ILMN_1891004,,NA,,
ILMN_1891021,,NA,,
ILMN_1891033,,NA,,
ILMN_1891034,,NA,,
ILMN_1891041,,NA,,
ILMN_1891042,,NA,,
ILMN_1891044,,NA,,
ILMN_1891048,,NA,,
ILMN_1891053,,NA,,
ILMN_1891067,,NA,,
ILMN_1891077,,NA,,
ILMN_1891079,,NA,,
ILMN_1891084,,NA,,
ILMN_1891085,,NA,,
ILMN_1891089,,NA,,
ILMN_1891104,,NA,,
ILMN_1891109,,NA,,
ILMN_1891121,,NA,,
ILMN_1891129,,NA,,
ILMN_1891130,,NA,,
ILMN_1891135,,NA,,
ILMN_1891136,,NA,,
ILMN_1891154,,NA,,
ILMN_1891156,,NA,,
ILMN_1891195,,NA,,
ILMN_1891198,,NA,,
ILMN_1891200,,NA,,
ILMN_1891207,,NA,,
ILMN_1891229,LOC650879,650879,,
ILMN_1891233,,NA,,
ILMN_1891240,,NA,,
ILMN_1891244,,NA,,
ILMN_1891247,,NA,,
ILMN_1891251,,NA,,
ILMN_1891252,,NA,,
ILMN_1891259,,NA,,
ILMN_1891263,,NA,,
ILMN_1891267,,NA,,
ILMN_1891275,,NA,,
ILMN_1891277,,NA,,
ILMN_1891287,,NA,,
ILMN_1891305,,NA,,
ILMN_1891306,,NA,,
ILMN_1891308,,NA,,
ILMN_1891310,,NA,,
ILMN_1891311,,NA,,
ILMN_1891312,,NA,,
ILMN_1891324,,NA,,
ILMN_1891351,,NA,,
ILMN_1891357,,NA,,
ILMN_1891365,,NA,,
ILMN_1891368,,NA,,
ILMN_1891380,,NA,,
ILMN_1891382,,NA,,
ILMN_1891388,,NA,,
ILMN_1891394,,NA,,
ILMN_1891402,,NA,,
ILMN_1891404,,NA,,
ILMN_1891408,,NA,,
ILMN_1891409,,NA,,
ILMN_1891413,,NA,,
ILMN_1891427,,NA,,
ILMN_1891429,,NA,,
ILMN_1891455,,NA,,
ILMN_1891458,,NA,,
ILMN_1891469,,NA,,
ILMN_1891473,,NA,,
ILMN_1891476,SH3TC2,79628,5,5q33.1b
ILMN_1891477,,NA,,
ILMN_1891478,,NA,,
ILMN_1891482,,NA,,
ILMN_1891484,,NA,,
ILMN_1891490,,NA,,
ILMN_1891492,,NA,,
ILMN_1891500,,NA,,
ILMN_1891503,,NA,,
ILMN_1891506,,NA,,
ILMN_1891515,,NA,,
ILMN_1891516,,NA,,
ILMN_1891520,,NA,,
ILMN_1891521,,NA,,
ILMN_1891528,,NA,,
ILMN_1891532,,NA,,
ILMN_1891535,,NA,,
ILMN_1891572,,NA,,
ILMN_1891583,,NA,,
ILMN_1891593,,NA,,
ILMN_1891603,,NA,,
ILMN_1891604,,NA,,
ILMN_1891607,,NA,,
ILMN_1891610,,NA,,
ILMN_1891613,,NA,,
ILMN_1891622,,NA,,
ILMN_1891623,,NA,,
ILMN_1891629,,NA,,
ILMN_1891638,,NA,,
ILMN_1891639,,NA,,
ILMN_1891663,,NA,,
ILMN_1891673,,NA,,
ILMN_1891675,,NA,,
ILMN_1891677,,NA,,
ILMN_1891681,,NA,,
ILMN_1891694,,NA,,
ILMN_1891695,,NA,,
ILMN_1891698,,NA,,
ILMN_1891705,,NA,,
ILMN_1891711,,NA,,
ILMN_1891713,,NA,,
ILMN_1891714,,NA,,
ILMN_1891725,,NA,,
ILMN_1891741,,NA,,
ILMN_1891744,,NA,,
ILMN_1891752,,NA,,
ILMN_1891754,,NA,,
ILMN_1891757,,NA,,
ILMN_1891773,,NA,,
ILMN_1891787,,NA,,
ILMN_1891808,,NA,,
ILMN_1891845,,NA,,
ILMN_1891851,,NA,,
ILMN_1891857,,NA,,
ILMN_1891863,,NA,,
ILMN_1891871,,NA,,
ILMN_1891877,,NA,,
ILMN_1891878,,NA,,
ILMN_1891880,,NA,,
ILMN_1891885,,NA,,
ILMN_1891901,,NA,,
ILMN_1891920,,NA,,
ILMN_1891922,,NA,,
ILMN_1891924,,NA,,
ILMN_1891927,,NA,,
ILMN_1891930,,NA,,
ILMN_1891939,,NA,,
ILMN_1891944,,NA,,
ILMN_1891948,,NA,,
ILMN_1891951,,NA,,
ILMN_1891955,,NA,,
ILMN_1891980,,NA,,
ILMN_1891997,,NA,,
ILMN_1892005,,NA,,
ILMN_1892010,,NA,,
ILMN_1892025,,NA,,
ILMN_1892027,,NA,,
ILMN_1892031,,NA,,
ILMN_1892038,,NA,,
ILMN_1892050,,NA,,
ILMN_1892080,,NA,,
ILMN_1892086,,NA,,
ILMN_1892089,,NA,,
ILMN_1892100,,NA,,
ILMN_1892116,,NA,,
ILMN_1892127,,NA,,
ILMN_1892129,,NA,,
ILMN_1892135,,NA,,
ILMN_1892151,,NA,,
ILMN_1892161,,NA,,
ILMN_1892163,,NA,,
ILMN_1892167,,NA,,
ILMN_1892172,,NA,,
ILMN_1892184,,NA,,
ILMN_1892191,,NA,,
ILMN_1892200,,NA,,
ILMN_1892205,,NA,,
ILMN_1892218,,NA,,
ILMN_1892227,,NA,,
ILMN_1892235,,NA,,
ILMN_1892243,,NA,,
ILMN_1892244,,NA,,
ILMN_1892247,,NA,,
ILMN_1892253,,NA,,
ILMN_1892255,,NA,,
ILMN_1892259,,NA,,
ILMN_1892260,,NA,,
ILMN_1892266,,NA,,
ILMN_1892268,,NA,,
ILMN_1892272,,NA,,
ILMN_1892283,,NA,,
ILMN_1892294,,NA,,
ILMN_1892301,,NA,,
ILMN_1892306,,NA,,
ILMN_1892324,,NA,,
ILMN_1892325,,NA,,
ILMN_1892338,,NA,,
ILMN_1892340,,NA,,
ILMN_1892344,,NA,,
